Company,TypeName,Inches,Ram,OS,Weight,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company
HP,Workstation,15.6,8,Windows 7,2.59,Full HD,1920,1080,No,Yes,No,Intel,2.6,256,0,SSD,No,Nvidia
HP,2 in 1 Convertible,13.3,8,Windows 10,1.48,Full HD,1920,1080,Yes,No,No,Intel,2.4,256,0,SSD,No,Intel
Toshiba,Notebook,15.6,4,Windows 10,2.1,Standard,1366,768,No,No,No,Intel,2.1,128,0,SSD,No,Intel
Asus,Gaming,15.6,16,Windows 10,2.2,Full HD,1920,1080,No,No,No,Intel,2.8,256,1024,SSD,HDD,Nvidia
Lenovo,Ultrabook,12.5,8,Windows 10,1.36,Full HD,1920,1080,No,Yes,No,Intel,2.5,256,0,SSD,No,Intel
Acer,Notebook,15.6,4,Windows 10,2.1,Standard,1366,768,No,No,No,Intel,2.0,500,0,HDD,No,Intel
Dell,Notebook,13.3,4,Windows 10,1.65,Standard,1366,768,No,No,No,Intel,2.0,500,0,HDD,No,Intel
Lenovo,Gaming,15.6,8,Windows 10,2.4,Full HD,1920,1080,No,Yes,No,Intel,2.5,1024,0,HDD,No,Nvidia
Samsung,Ultrabook,13.3,8,Windows 10,0.81,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Intel
MSI,Gaming,17.3,16,Windows 10,2.43,4K Ultra HD,3840,2160,No,Yes,No,Intel,2.6,512,2048,SSD,HDD,Nvidia
Acer,Notebook,15.6,4,Chrome OS,2.2,Standard,1366,768,No,No,No,Intel,1.5,16,0,SSD,No,Intel
Lenovo,2 in 1 Convertible,14.0,16,Windows 10,1.36,Standard,2560,1440,Yes,No,No,Intel,2.6,512,0,SSD,No,Intel
Lenovo,Notebook,15.6,8,Windows 10,2.67,Full HD,1920,1080,No,No,No,Intel,2.9,256,0,SSD,No,Nvidia
Lenovo,Notebook,17.3,6,Windows 10,2.8,Standard,1600,900,No,No,No,Intel,2.5,128,1024,SSD,HDD,Nvidia
Asus,Notebook,15.6,4,Windows 10,2.2,Full HD,1920,1080,No,No,No,AMD,2.5,128,1024,SSD,HDD,AMD
Lenovo,Notebook,15.6,4,Windows 10,2.2,Full HD,1920,1080,No,No,No,Intel,2.0,1024,0,HDD,No,Nvidia
Xiaomi,Notebook,15.6,16,No OS,1.95,Full HD,1920,1080,No,Yes,No,Intel,1.8,256,0,SSD,No,Nvidia
HP,Notebook,15.6,8,No OS,1.86,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Intel
Apple,Ultrabook,15.4,16,Mac OS X,2.04,Standard,2880,1800,No,Yes,Yes,Intel,2.2,256,0,Flash Storage,No,Intel
Asus,2 in 1 Convertible,15.6,12,Windows 10,2.26,Full HD,1920,1080,Yes,No,No,Intel,2.7,512,2048,SSD,HDD,Nvidia
Dell,Ultrabook,13.3,16,Windows 10,1.21,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,1.8,1024,0,SSD,No,Intel
HP,Netbook,12.5,4,Windows 7,2.4,Standard,1366,768,No,No,No,Intel,2.3,128,0,SSD,No,Intel
Acer,Notebook,15.6,4,Windows 10,2.4,Full HD,1920,1080,No,No,No,Intel,2.4,1024,0,HDD,No,Intel
Lenovo,Ultrabook,14.0,8,Windows 7,1.7,Full HD,1920,1080,No,No,No,Intel,2.6,256,0,SSD,No,Intel
Dell,Gaming,15.6,16,Windows 10,3.21,Full HD,1920,1080,No,No,No,Intel,2.5,128,1024,SSD,HDD,Nvidia
Lenovo,Notebook,15.6,6,Windows 10,2.4,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Nvidia
Dell,Ultrabook,13.3,8,Windows 10,1.4,Full HD,1920,1080,No,Yes,No,Intel,1.8,256,0,SSD,No,AMD
HP,Notebook,15.6,8,Windows 10,2.04,Standard,1366,768,No,No,No,Intel,2.5,1024,0,HDD,No,Nvidia
Dell,Notebook,15.6,8,Windows 10,2.2,Full HD,1920,1080,No,No,No,Intel,1.6,256,0,SSD,No,AMD
MSI,Gaming,15.6,8,Windows 10,2.2,Full HD,1920,1080,No,No,No,Intel,2.8,128,1024,SSD,HDD,Nvidia
Dell,2 in 1 Convertible,13.3,16,Windows 10,1.22,Quad HD+,3200,1800,Yes,No,No,Intel,1.3,512,0,SSD,No,Intel
Dell,Ultrabook,13.3,4,Windows 10,1.4,Full HD,1920,1080,No,Yes,No,Intel,1.6,256,0,SSD,No,AMD
HP,Notebook,17.3,8,Windows 10,2.63,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Nvidia
HP,Notebook,15.6,4,Windows 10,2.1,Full HD,1920,1080,No,No,No,Intel,2.4,128,0,SSD,No,Intel
MSI,Gaming,15.6,8,Windows 10,2.4,Full HD,1920,1080,No,No,No,Intel,2.6,128,1024,SSD,HDD,Nvidia
Asus,2 in 1 Convertible,13.3,8,Windows 10,1.1,Full HD,1920,1080,Yes,No,No,Intel,2.5,256,0,SSD,No,Intel
HP,Notebook,13.3,8,Windows 10,1.49,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Intel
Toshiba,Notebook,15.6,16,Windows 10,2.4,Full HD,1920,1080,No,Yes,No,Intel,2.5,512,0,SSD,No,Nvidia
Lenovo,Gaming,17.3,16,Windows 10,4.6,Full HD,1920,1080,No,Yes,No,Intel,2.7,256,1024,SSD,Hybrid,Nvidia
HP,Notebook,15.6,6,Windows 10,2.1,Full HD,1920,1080,No,No,No,AMD,2.7,1024,0,HDD,No,AMD
HP,Notebook,15.6,8,Windows 10,1.91,Standard,1366,768,No,No,No,AMD,2.5,128,0,SSD,No,AMD
Asus,Gaming,17.3,8,Windows 10,3.0,Full HD,1920,1080,No,No,No,Intel,2.8,1024,0,HDD,No,Nvidia
